Ticker,Market Cap(mn),Year,EPS,NAV,ROE
MARICO,76548.15,2023,122.93,113.85,1.0798
GEMINISEA,3390.221,2022,12.49,13.1,0.9534
KEYACOSMET,7054.831,2020,0.21,0.23,0.913
RECKITTBEN,22494.308,2022,139.5,176.8,0.789
GP,386995.986,2022,22.29,34.22,0.6514
ANWARGALV,6438.904,2022,11.54,21.81,0.5291
UNILEVERCL,38772.218,2022,60.64,139.6,0.4344
BATBC,280098.0,2022,33.1,76.27,0.434
UPGDCL,135474.785,2022,17.21,56.38,0.3053
LHBL,80947.733,2022,3.83,15.25,0.2511
BERGERPBL,79612.269,2023,64.91,279.78,0.232
SQUARETEXT,13314.51,2022,9.93,46.62,0.213
KOHINOOR,12340.597,2022,12.41,58.49,0.2122
GENEXIL,7921.905,2022,3.36,16.53,0.2033
IBNSINA,8954.423,2023,19.38,96.68,0.2005
DOREENPWR,11048.253,2022,10.31,53.15,0.194
ISNLTD,626.808,2022,0.59,3.12,0.1891
BSC,16473.784,2023,16.15,86.67,0.1863
BSCCL,36097.816,2023,15.19,85.05,0.1786
SQURPHARMA,185977.422,2022,20.51,116.7,0.1757
RENATA,139688.856,2022,47.68,274.39,0.1738
BNICL,2513.4,2022,4.0,23.8,0.1681
MPETROLEUM,22238.41,2022,29.25,174.15,0.168
SHAHJABANK,20367.321,2022,3.31,20.32,0.1629
FORTUNE,12919.133,2022,2.3,14.3,0.1608
ISLAMIINS,1889.483,2022,3.07,19.18,0.1601
PREMIERBAN,15787.919,2022,3.42,21.64,0.158
PTL,12538.182,2022,4.67,29.6,0.1578
BEACONPHAR,56595.0,2022,4.05,25.73,0.1574
BEXIMCO,103570.839,2022,14.32,91.19,0.157
MJLBD,27462.401,2022,6.36,40.55,0.1568
AMBEEPHA,2041.92,2022,3.36,21.96,0.153
UTTARAFIN,4444.075,2019,9.45,62.45,0.1513
ORIONINFU,6861.239,2022,2.1,14.22,0.1477
PAPERPROC,2218.45,2022,4.62,31.59,0.1462
